schcd,school_name,distname,blkname,cluname,schmgt_desc,schmgtdet_desc,schcat_desc,school_medium,lowest_class,highest_class,school_close,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12
27300206701,ZPPS KHAMGAON                                                                                                                                                                                                                                             ,Solapur,Barshi,Chikarde,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,1,2,2,3,0,0,0,0,0,0,0,0
27300206702,"CH. SHIVAJI HIGH SCHOOL, KHAMGAON                                                                                                                                                                                                                         ",Solapur,Barshi,Chikarde,Private (Education Dept.),Private Aided,Upper Pr. and Secondary,Marathi,5,10,N,0,0,0,0,25,24,25,32,28,32,0,0
27300206703,"S.MAI.SOPALPRI.ASHRAM SCHOOL,KHAMGAON                                                                                                                                                                                                                     ",Solapur,Barshi,Chikarde,VJNT,VJNT Private Aided,Primary with Upper Primary,Marathi,1,7,N,27,38,52,76,93,105,113,0,0,0,0,0
27300206704,"MADHYAMIK ASHRAM SCHOOL, KHAMGAON                                                                                                                                                                                                                         ",Solapur,Barshi,Chikarde,VJNT,VJNT Private Aided,Up. Pr. Secondary and Higher Sec,"English, Marathi",8,12,N,0,0,0,0,0,0,0,123,126,110,175,194
27300206705,Madhyamik Vidyalay Aagalgaon                                                                                                                                                                                                                              ,Solapur,Barshi,Agalgaon,Private (Education Dept.),Private Partially aided,Upper Pr. and Secondary,Marathi,8,10,N,0,0,0,0,0,0,0,32,44,51,0,0
27300206801,ZPPS KHANDVI BOYS                                                                                                                                                                                                                                         ,Solapur,Barshi,Khandvi],Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,7,N,21,35,32,44,27,31,31,0,0,0,0,0
27300206802,ZPPS KHANDVI GIRLS                                                                                                                                                                                                                                        ,Solapur,Barshi,Khandvi],Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,7,N,29,32,26,41,35,33,32,0,0,0,0,0
27300206803,YASHVANT VIDYALAY KHANDVI                                                                                                                                                                                                                                 ,Solapur,Barshi,Khandvi],Private (Education Dept.),Private Aided,Upper Pr. and Secondary,Marathi,5,10,N,0,0,0,0,3,7,7,32,48,34,0,0
27300206805,K.K.G. MUKHABADHIR N.S. KHANDVI                                                                                                                                                                                                                           ,Solapur,Barshi,Khandvi],Apang kalyan,Apang Kalyan Private Aided,Primary with Upper Primary,Marathi,1,8,N,2,0,2,7,6,3,6,0,0,0,0,0
27300206807,SOJAR ENGLISH SCHOOL KHANDVI                                                                                                                                                                                                                              ,Solapur,Barshi,Khandvi],Private (Education Dept.),Self-Financed,Primary,"English, Hindi, Marathi, Urdu",1,5,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27300206901,ZPPS KOREGAON                                                                                                                                                                                                                                             ,Solapur,Barshi,Kategaon,Local Body,Zilla Parishad (Primary),Primary,"English, Hindi, Marathi, Urdu",1,4,N,5,13,12,9,0,0,0,0,0,0,0,0
27300207001,ZPPS KORPHALE                                                                                                                                                                                                                                             ,Solapur,Barshi,Korphale,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,5,N,35,43,57,46,38,0,0,0,0,0,0,0
27300207002,YAMAIDEVI VIDYALAY KORPHALE                                                                                                                                                                                                                               ,Solapur,Barshi,Korphale,Private (Education Dept.),Private Aided,Upper Pr. and Secondary,Marathi,5,10,N,0,0,0,0,30,37,43,33,42,40,0,0
27300207003,SNEHGRAM VIDYALAY KORPHALE                                                                                                                                                                                                                                ,Solapur,Barshi,Korphale,Private (Education Dept.),Self-Financed,Primary,"English, Hindi, Marathi, Urdu",1,5,N,0,2,6,2,4,0,0,0,0,0,0,0
27300207101,ZPPS KUSALAMB                                                                                                                                                                                                                                             ,Solapur,Barshi,Kusalamb,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,11,24,20,28,0,0,0,0,0,0,0,0
27300207102,"NEW HIGH SCHOOL, KUSALAMB                                                                                                                                                                                                                                 ",Solapur,Barshi,Kusalamb,Private (Education Dept.),Private Aided,Up. Pr. Secondary and Higher Sec,Marathi,5,12,N,0,0,0,0,20,21,22,23,39,34,32,36
27300207201,ZPPS LADOLE                                                                                                                                                                                                                                               ,Solapur,Barshi,Vairag,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,9,9,15,13,0,0,0,0,0,0,0,0
27300207202,RANJITSINGH M.PATIL M V LADOLE                                                                                                                                                                                                                            ,Solapur,Barshi,Vairag,Private (Education Dept.),Private Un-aided,Upper Pr. and Secondary,Marathi,8,10,N,0,0,0,0,0,0,0,14,14,35,0,0
27300207301,ZPPS LAKSHYACHIWADI                                                                                                                                                                                                                                       ,Solapur,Barshi,Degaon,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,5,N,4,7,6,4,0,0,0,0,0,0,0,0
27300207401,ZPPS MAHAGAON                                                                                                                                                                                                                                             ,Solapur,Barshi,Chikarde,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,13,10,10,9,0,0,0,0,0,0,0,0
27300207501,ZPPS MALEGAON                                                                                                                                                                                                                                             ,Solapur,Barshi,Upale--Du,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,18,22,30,33,0,0,0,0,0,0,0,0
27300207502,MITRA VIDYALAY MALEGAON                                                                                                                                                                                                                                   ,Solapur,Barshi,Upale--Du,Private (Education Dept.),Private Aided,Up. Pr. Secondary and Higher Sec,"English, Hindi, Marathi, Urdu",5,12,N,0,0,0,0,79,90,115,122,140,103,37,48
27300207601,ZPPS MALEGAON -- R                                                                                                                                                                                                                                        ,Solapur,Barshi,Upale--Du,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,17,12,13,18,0,0,0,0,0,0,0,0
27300207602,MALEGAON PRASHALA MALEGAON-- R                                                                                                                                                                                                                            ,Solapur,Barshi,Upale--Du,Private (Education Dept.),Private Partially aided,Up. Pr. Secondary and Higher Sec,Marathi,5,12,N,0,0,0,0,13,21,20,25,20,33,38,41
27300207701,ZPPS MALWANDI                                                                                                                                                                                                                                             ,Solapur,Barshi,Korphale,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,57,41,53,51,0,0,0,0,0,0,0,0
27300207702,"ANANDRAO PATIL VID, MALWANDI                                                                                                                                                                                                                              ",Solapur,Barshi,Korphale,Private (Education Dept.),Private Aided,Upper Pr. and Secondary,Marathi,5,10,N,0,0,0,0,37,38,46,39,52,46,0,0
27300207705,NIVASI MATIMAND VIDYALAYA MALWANDI                                                                                                                                                                                                                        ,Solapur,Barshi,Korphale,Social Welfare,Social Welfare Private Un-aided,Primary with Upper Primary,"English, Hindi, Marathi, Urdu",1,8,N,0,0,4,5,4,10,5,7,0,0,0,0
27300207706,SHANKARRAO PATIL NIVASI APANG VIDYALAY MALWANDI                                                                                                                                                                                                           ,Solapur,Barshi,Korphale,Apang kalyan,Apang Kalyan Private Aided,Primary,"English, Hindi, Marathi, Urdu",1,5,N,4,3,4,6,10,0,0,0,0,0,0,0
27300207801,ZPPS MAMDAPUR                                                                                                                                                                                                                                             ,Solapur,Barshi,Pangari,Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,7,N,6,6,8,9,8,8,10,0,0,0,0,0
27300207802,"MAMDAPUR MADH VIDY, MAMDAPUR                                                                                                                                                                                                                              ",Solapur,Barshi,Pangari,Private (Education Dept.),Private Partially aided,Upper Pr. and Secondary,Marathi,8,10,N,0,0,0,0,0,0,0,12,18,38,0,0
27300207901,ZPPS MANDEGAON                                                                                                                                                                                                                                            ,Solapur,Barshi,Agalgaon,Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,7,N,13,18,17,9,2,8,6,0,0,0,0,0
27300207902,"NAVIN MADHYAMIK PRASHALA, BELGAON                                                                                                                                                                                                                         ",Solapur,Barshi,Agalgaon,Private (Education Dept.),Private Aided,Upper Pr. and Secondary,Marathi,8,10,N,0,0,0,0,0,0,0,22,26,35,0,0
27300208001,ZPPS MANEGAON                                                                                                                                                                                                                                             ,Solapur,Barshi,Vairag,Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,7,N,16,22,23,32,26,14,14,0,0,0,0,0
27300208002,R.SHAHU HIGH SCHOOL MANEGAON                                                                                                                                                                                                                              ,Solapur,Barshi,Vairag,Private (Education Dept.),Private Partially aided,Upper Pr. and Secondary,Marathi,8,10,N,0,0,0,0,0,0,0,25,33,38,0,0
